Dirección IP del cliente,Nombre,Expiración de cesión,Tipo,Id. exclusivo,Descripción,Protección de acceso a redes,Expiración del período de prueba,Perfil de filtro,Directiva
172.22.45.115,asaldarriagapw10.bce.fin.ec,31/08/2023 16:32:02,DHCP,5c60bae4786c,,Acceso completo,N/D,Ninguno,
172.22.45.116,vorozcow10.bce.fin.ec,Reserva (activa),DHCP,0026b9808a6d,,Acceso completo,N/D,Ninguno,
172.22.45.117,imoranpw10.bce.fin.ec,01/09/2023 9:00:10,DHCP,7c575820ec3b,,Acceso completo,N/D,Ninguno,
172.22.45.118,jpilataxixp.bce.fin.ec,Reserva (activa),DHCP,000d9dd02966,,Acceso completo,N/D,Ninguno,
172.22.45.121,ffflores1w10.bce.fin.ec,01/09/2023 9:21:17,DHCP,8469937ab7f6,,Acceso completo,N/D,Ninguno,
172.22.45.123,jruedaw10.bce.fin.ec,01/09/2023 9:23:26,DHCP,8469937a5110,,Acceso completo,N/D,Ninguno,
172.22.45.124,malopezpw10.bce.fin.ec,01/09/2023 11:16:00,DHCP,5c60bae014d2,,Acceso completo,N/D,Ninguno,
172.22.45.125,zdavilaw10.bce.fin.ec,01/09/2023 7:56:13,DHCP,38ca84b0804d,,Acceso completo,N/D,Ninguno,
172.22.45.126,hsanchezw10.bce.fin.ec,01/09/2023 12:50:26,DHCP,7c57581b1a28,,Acceso completo,N/D,Ninguno,
172.22.45.129,larrobow10.bce.fin.ec,30/08/2023 7:44:10,DHCP,38ca84b0760e,,Acceso completo,N/D,Ninguno,
172.22.45.130,CGUANOLUISAW10.bce.fin.ec,29/08/2023 11:57:43,DHCP,8469937a5114,,Acceso completo,N/D,Ninguno,
172.22.45.131,cbautistawin10.bce.fin.ec,01/09/2023 12:06:19,DHCP,5c60bae0152d,,Acceso completo,N/D,Ninguno,
172.22.45.132,mulcuangow10.bce.fin.ec,01/09/2023 12:51:26,DHCP,7c57581b1442,,Acceso completo,N/D,Ninguno,
172.22.45.133,MVGUANOLIQUINP10.bce.fin.ec,29/08/2023 6:23:09,DHCP,a029196691d0,,Acceso completo,N/D,Ninguno,
172.22.45.136,camoraportw10.bce.fin.ec,28/08/2023 17:26:20,DHCP,a02919669426,,Acceso completo,N/D,Ninguno,
172.22.45.137,mcaizapw10.bce.fin.ec,31/08/2023 7:51:29,DHCP,a029196691c6,,Acceso completo,N/D,Ninguno,
172.22.45.138,acarrascow7.bce.fin.ec,Reserva (activa),DHCP,001cc42ebf3a,,Acceso completo,N/D,Ninguno,
172.22.45.139,mrherrerapw10.bce.fin.ec,01/09/2023 9:38:34,DHCP,a029196691b9,,Acceso completo,N/D,Ninguno,
172.22.45.144,mvegajw10.bce.fin.ec,29/08/2023 15:57:19,DHCP,54bf648b6e96,,Acceso completo,N/D,Ninguno,
172.22.45.165,jpulamarinwin7.bce.fin.ec,31/08/2023 7:50:36,DHCP,10604b8d0465,,Acceso completo,N/D,Ninguno,
172.22.45.181,eandradesportw7.bce.fin.ec,Reserva (activa),DHCP,14feb5c4daa1,,Acceso completo,N/D,Ninguno,
172.22.45.190,tonaw10.bce.fin.ec,01/09/2023 7:57:42,DHCP,8469937ab82a,,Acceso completo,N/D,Ninguno,
172.22.45.200,ssalazarmw7.bce.fin.ec,Reserva (activa),DHCP,64006a83cf13,,Acceso completo,N/D,Ninguno,
172.22.45.207,fbetancourtw7.bce.fin.ec,Reserva (activa),DHCP,6c626dd86248,,Acceso completo,N/D,Ninguno,
172.22.45.213,fsaezxp.bce.fin.ec,Reserva (activa),DHCP,001cc42ef440,,Acceso completo,N/D,Ninguno,
172.22.45.214,aaguzmanportw7.bce.fin.ec,Reserva (activa),DHCP,b499ba58a739,,Acceso completo,N/D,Ninguno,
172.22.45.247,aalulema1w10.bce.fin.ec,01/09/2023 8:15:23,DHCP,10604b866cce,,Acceso completo,N/D,Ninguno,
172.22.45.249,jpandradew10.bce.fin.ec,01/09/2023 7:43:28,DHCP,10604b8727b0,,Acceso completo,N/D,Ninguno,
